吴东小区,(徐汇徐家汇)吴中东路500弄,65477,集资开发,1988年建成 ,板楼,0.8元/平米/月,东航物业,53栋,1122户,https://sh.lianjia.com/xiaoqu/5011000008879/
三宝花苑,(闸北西藏北路)宝山路450弄1-16号,60936,上海三宝花苑房产开发公司,1993年建成 ,板楼,1.82元/平米/月,上海不夜城全兴物业管理有限公司,12栋,465户,https://sh.lianjia.com/xiaoqu/5011000015020/
梅园新村(嘉定),(嘉定嘉定老城)梅园路300弄,28795,政府安置房,1984年建成 ,板楼,0.35元/平米/月,嘉城物业,39栋,1078户,https://sh.lianjia.com/xiaoqu/5011000000158/
金色碧云,(浦东碧云)白桦路266弄,100097,上海天赐实业(集团)有限公司,2004年建成 ,板楼,1.5元/平米/月,上海天可华物业管理有限公司,26栋,312户,https://sh.lianjia.com/xiaoqu/5011000017365/
花苑茶花园,(徐汇康健)浦北路959弄（茶花园69号）,67167,中房房地产,1993年建成 ,板楼,0.55元/平米/月,中房物业,49栋,1176户,https://sh.lianjia.com/xiaoqu/5011000012897/
九龙仓兰宫,(松江松江大学城)谷阳北路2388弄,45825,上海莱源房地产开发有限公司,2014年建成 ,板楼,3.95元/平米/月,九龙仓物业管理有限公司,97栋,591户,https://sh.lianjia.com/xiaoqu/5011000001645/
大宁龙盛雅苑,(闸北大宁)万荣路166弄,89449,上海晟宇置业有限公司,2012年建成 ,板楼,1.25元/平米/月,上海置业集团,9栋,925户,https://sh.lianjia.com/xiaoqu/5011000009029/
普善新苑,(闸北大宁)普善路390弄,57655,欣悦房产开发有限公司,1995年建成 ,塔楼,0.99至1.2元/平米/月,上海欣悦物业管理有限公司,4栋,571户,https://sh.lianjia.com/xiaoqu/5011000017971/
汇龙花苑(闵行),(闵行浦江)鲁南路85弄,31547,上海红龙房地产开发经营有限公司,1999年建成 ,板楼,0.6元/平米/月,上海鲁汇物业管理有限公司,40栋,216户,https://sh.lianjia.com/xiaoqu/5011000010180/
万兆家园(一期),"(闵行七宝)七莘路2465弄10支弄, 七莘路2855弄4-118号",56490,上海万兆房地产发展有限公司,1994年建成 ,板楼,1.3元/平米/月,上海轩宇物业管理有限公司,103栋,1194户,https://sh.lianjia.com/xiaoqu/5011000013955/
