12-22-2019 09:22:30 root:INFO:start main process
12-22-2019 09:22:30 root:INFO:start handling district: biyun
12-22-2019 09:22:32 root:INFO:district biyun , communit count:39
12-22-2019 09:22:33 root:INFO:handling directory page 1
12-22-2019 09:22:33 root:INFO:96
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000015724/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000017700/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000015037/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000010580/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000015546/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000018020/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012712/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000004064/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000017365/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000015967/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000015380/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000017119/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012505/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000015753/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000016334/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000018328/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000017858/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000017257/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000002850/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970508169313/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970584454044/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970584454049/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/509821540057416/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970721292813/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000001825/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970721292815/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011063202564/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970584454043/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011102209345/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000008858/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013912/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000011023/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000010633/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014769/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012587/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/509821540057269/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000018699/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012174/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000015626/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000001121/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000017847/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000016618/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000018067/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013991/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000010850/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011063203199/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012946/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000017236/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000002794/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014004/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000009391/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000002135/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000017586/
12-22-2019 09:22:33 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000017860/
