15-09-2019 18:09:20 root:INFO:start main process
15-09-2019 18:09:20 root:INFO:start handling district: beicai
15-09-2019 18:09:21 root:INFO:district beicai , communit count:333
15-09-2019 18:09:21 root:INFO:handling directory page 1
15-09-2019 18:09:21 root:INFO:100
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014388/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000018309/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014460/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000002501/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000000491/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000016533/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014231/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000017623/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000009860/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000017399/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013346/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014536/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003007/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014204/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000007132/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014752/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012323/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012349/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014989/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000011161/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000004216/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011906988126279/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014749/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000009386/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000019823/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012035/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000006650/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003831/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014306/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000010065/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000015278/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000008802/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000010986/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011102210432/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000017503/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000011179/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000000158/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000016882/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012677/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000001907/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000017971/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011102210184/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014000/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012177/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000015375/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003570/
15-09-2019 18:09:21 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003401/
