15-19-2019 18:19:40 root:INFO:start main process
15-19-2019 18:19:40 root:INFO:start handling district: beicai
15-19-2019 18:19:41 root:INFO:district beicai , communit count:333
15-19-2019 18:19:42 root:INFO:handling directory page 1
15-19-2019 18:19:42 root:INFO:100
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014388/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000018309/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014460/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000002501/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000000491/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000016533/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014231/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000017623/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000009860/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000017399/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013346/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014536/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003007/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014204/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000007132/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014752/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012323/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012349/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014989/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000011161/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000004216/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011906988126279/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014749/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000009386/
