12-17-2019 09:17:10 root:INFO:start main process
12-17-2019 09:17:10 root:INFO:start handling district: biyun
12-17-2019 09:17:11 root:INFO:district biyun , communit count:39
12-17-2019 09:17:13 root:INFO:handling directory page 1
12-17-2019 09:17:13 root:INFO:96
12-17-2019 09:17:13 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000010580/
12-17-2019 09:17:13 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000015724/
12-17-2019 09:17:13 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000017700/
12-17-2019 09:17:13 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000015037/
12-17-2019 09:17:13 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000015546/
12-17-2019 09:17:13 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000018020/
12-17-2019 09:17:13 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000017365/
12-17-2019 09:17:13 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000004064/
12-17-2019 09:17:13 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000015967/
12-17-2019 09:17:13 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000015380/
12-17-2019 09:17:13 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012712/
12-17-2019 09:17:13 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000017119/
12-17-2019 09:17:13 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012505/
12-17-2019 09:17:13 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000015753/
12-17-2019 09:17:13 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000016334/
12-17-2019 09:17:13 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000018328/
12-17-2019 09:17:13 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000017858/
