10-36-2019 17:36:27 root:INFO:start main process
10-36-2019 17:36:27 root:INFO:start handling district: beicai
10-36-2019 17:36:28 root:INFO:district beicai , house count:1212
10-36-2019 17:36:29 root:INFO:handling directory page 1
10-36-2019 17:36:30 root:INFO:handling directory page 2
10-36-2019 17:36:30 root:INFO:handling directory page 3
10-36-2019 17:36:31 root:INFO:handling directory page 4
10-36-2019 17:36:32 root:INFO:handling directory page 5
10-36-2019 17:36:33 root:INFO:handling directory page 6
10-36-2019 17:36:34 root:INFO:handling directory page 7
10-36-2019 17:36:35 root:INFO:handling directory page 8
10-36-2019 17:36:36 root:INFO:handling directory page 9
10-36-2019 17:36:37 root:INFO:handling directory page 10
10-36-2019 17:36:38 root:INFO:handling directory page 11
10-36-2019 17:36:39 root:INFO:handling directory page 12
10-36-2019 17:36:39 root:INFO:handling directory page 13
10-36-2019 17:36:40 root:INFO:handling directory page 14
10-36-2019 17:36:41 root:INFO:handling directory page 15
10-36-2019 17:36:42 root:INFO:handling directory page 16
10-36-2019 17:36:43 root:INFO:handling directory page 17
10-36-2019 17:36:44 root:INFO:handling directory page 18
10-36-2019 17:36:45 root:INFO:handling directory page 19
10-36-2019 17:36:46 root:INFO:handling directory page 20
10-36-2019 17:36:47 root:INFO:handling directory page 21
10-36-2019 17:36:48 root:INFO:handling directory page 22
10-36-2019 17:36:48 root:INFO:handling directory page 23
10-36-2019 17:36:49 root:INFO:handling directory page 24
10-36-2019 17:36:50 root:INFO:handling directory page 25
10-36-2019 17:36:51 root:INFO:handling directory page 26
10-36-2019 17:36:52 root:INFO:handling directory page 27
10-36-2019 17:36:53 root:INFO:handling directory page 28
10-36-2019 17:36:54 root:INFO:handling directory page 29
10-36-2019 17:36:55 root:INFO:handling directory page 30
10-36-2019 17:36:56 root:INFO:handling directory page 31
10-36-2019 17:36:56 root:INFO:handling directory page 32
10-36-2019 17:36:57 root:INFO:handling directory page 33
10-36-2019 17:36:58 root:INFO:handling directory page 34
10-36-2019 17:36:59 root:INFO:handling directory page 35
10-37-2019 17:37:00 root:INFO:handling directory page 36
10-37-2019 17:37:01 root:INFO:handling directory page 37
10-37-2019 17:37:02 root:INFO:handling directory page 38
10-37-2019 17:37:03 root:INFO:handling directory page 39
10-37-2019 17:37:03 root:INFO:handling directory page 40
10-37-2019 17:37:04 root:INFO:handling directory page 41
10-37-2019 17:37:04 root:INFO:start handling district: biyun
10-37-2019 17:37:05 root:INFO:district biyun , house count:231
10-37-2019 17:37:06 root:INFO:handling directory page 1
10-37-2019 17:37:06 root:INFO:handling directory page 2
10-37-2019 17:37:07 root:INFO:handling directory page 3
10-37-2019 17:37:08 root:INFO:handling directory page 4
10-37-2019 17:37:09 root:INFO:handling directory page 5
10-37-2019 17:37:10 root:INFO:handling directory page 6
10-37-2019 17:37:11 root:INFO:handling directory page 7
10-37-2019 17:37:12 root:INFO:handling directory page 8
10-37-2019 17:37:12 root:INFO:start handling district: caolu
10-37-2019 17:37:12 root:INFO:district caolu , house count:487
10-37-2019 17:37:13 root:INFO:handling directory page 1
10-37-2019 17:37:14 root:INFO:handling directory page 2
10-37-2019 17:37:15 root:INFO:handling directory page 3
10-37-2019 17:37:15 root:INFO:handling directory page 4
10-37-2019 17:37:16 root:INFO:handling directory page 5
10-37-2019 17:37:17 root:INFO:handling directory page 6
10-37-2019 17:37:18 root:INFO:handling directory page 7
10-37-2019 17:37:19 root:INFO:handling directory page 8
10-37-2019 17:37:20 root:INFO:handling directory page 9
10-37-2019 17:37:21 root:INFO:handling directory page 10
10-37-2019 17:37:21 root:INFO:handling directory page 11
10-37-2019 17:37:22 root:INFO:handling directory page 12
10-37-2019 17:37:23 root:INFO:handling directory page 13
10-37-2019 17:37:24 root:INFO:handling directory page 14
10-37-2019 17:37:25 root:INFO:handling directory page 15
10-37-2019 17:37:26 root:INFO:handling directory page 16
10-37-2019 17:37:27 root:INFO:handling directory page 17
10-37-2019 17:37:27 root:INFO:start handling district: chuansha
10-37-2019 17:37:27 root:INFO:district chuansha , house count:1064
10-37-2019 17:37:28 root:INFO:handling directory page 1
10-37-2019 17:37:29 root:INFO:handling directory page 2
10-37-2019 17:37:30 root:INFO:handling directory page 3
10-37-2019 17:37:31 root:INFO:handling directory page 4
10-37-2019 17:37:32 root:INFO:handling directory page 5
10-37-2019 17:37:32 root:INFO:handling directory page 6
10-37-2019 17:37:33 root:INFO:handling directory page 7
10-37-2019 17:37:34 root:INFO:handling directory page 8
10-37-2019 17:37:35 root:INFO:handling directory page 9
10-37-2019 17:37:36 root:INFO:handling directory page 10
10-37-2019 17:37:37 root:INFO:handling directory page 11
10-37-2019 17:37:38 root:INFO:handling directory page 12
10-37-2019 17:37:39 root:INFO:handling directory page 13
