16-07-2019 17:07:50 root:INFO:start main process
16-07-2019 17:07:50 root:INFO:start handling district: beicai
16-07-2019 17:07:52 root:INFO:district beicai , community count:333
16-07-2019 17:07:54 root:INFO:handling directory page 1
16-07-2019 17:07:54 root:INFO:100
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014388/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000018309/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014460/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000002501/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000016533/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000000491/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000017399/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014231/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000017623/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013346/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000009860/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014204/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000007132/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014989/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003007/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000005487/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014536/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000019823/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014752/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012323/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014749/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000009386/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003351/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000006650/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000010065/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000011161/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000001171/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012716/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012349/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000005117/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003885/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012309/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000015679/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000017773/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012755/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000001997/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013628/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013101/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000010067/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012918/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013401/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000017346/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000017485/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000017855/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000016006/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000004882/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000002888/
16-07-2019 17:07:54 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013302/
